Index,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,Target
1,-0.633509202,-0.287744277,0.222853257,-2.998038828,-0.690274868,-0.674865947,-0.4041634,0.405966186,-2.319936508,0.775369445,-0.057652334,-0.475063617,0.133020284,-0.000609471,-1.716082361,-0.075549607,0.040171399,0.641594162,-0.456029406,-0.322197492,0.031280932,0.395766654,-0.097444112,-0.357011954,-0.230727738,-0.239018821,0.272303419,0.128074946,29.89,0
2,-1.432862802,-1.290935928,1.081047078,1.689178604,1.857099925,-0.633249555,-0.808269251,0.466849503,-0.099380682,0.161682273,0.37463715,-0.135397318,-2.059146759,0.711325447,-0.269425475,-0.860688083,0.363528992,0.238250258,1.132410548,0.393945882,0.233530692,0.229838906,0.367753382,-0.345799112,-0.614423543,-0.322641715,0.159902148,0.221185983,38.94,0
3,-1.275721432,-0.939393658,1.391179867,-1.432627801,-1.598676795,0.829656899,1.103926795,-0.276994518,0.600442335,-0.757896955,-0.567841983,-3.280387145,2.782222923,0.288155185,-1.039335133,1.770401304,0.256486652,-0.384143949,-0.05801915,0.061445679,0.16104206,0.91864208,0.382626998,-0.57571094,0.240416705,-0.217266509,0.191544552,-0.014055987,399.4,0
4,2.117287164,0.170442091,-1.945038518,0.273685669,0.740742757,-0.530378418,0.199079909,-0.220303052,0.476405859,-0.388657551,-1.035834533,0.155099937,0.555227767,-0.957098961,0.206478016,0.472384988,0.234397843,-0.160331826,0.275249275,-0.111803753,-0.399412183,-1.02296167,0.261353175,-0.051819333,-0.165380827,0.207374721,-0.060958948,-0.035670982,1.79,0
5,2.196451596,-1.362426703,-0.280415985,-1.43763491,-1.381314745,-0.249888044,-1.454115486,-0.13694026,-0.081280564,1.275863259,1.595318645,-2.04619595,3.169896325,0.811997993,-1.463136948,-0.034526022,0.687563789,0.575944268,0.049110148,-0.337957486,-0.496380687,-0.743398542,0.391387214,-0.437920979,-0.595207714,-0.528236748,0.009113457,-0.047769061,39.95,0
6,-0.020185739,0.797009594,0.310195645,-0.56216948,0.525838815,-1.186042677,0.96597233,-0.219475149,-0.090085479,-0.41137836,-0.859525684,0.335934074,0.364129376,0.046704256,-0.439179801,-0.114968843,-0.423618509,-0.792411711,-0.088529285,0.005496928,-0.24888393,-0.546475421,0.081653975,0.048858992,-0.474906325,0.136628918,0.246549002,0.100072484,1.79,0
7,-0.7237769,-0.954044577,-1.970832827,5.152778809,2.583888908,0.706920777,-0.221095785,0.657671133,-1.94354717,1.900973163,-0.179648553,-0.120233425,0.266919047,1.036307232,1.641794399,-1.410647339,1.363350906,-2.065229774,-0.572309674,-0.596835327,0.196223134,1.248898828,2.132790636,-1.494821728,-0.149917648,0.653407059,-0.110722964,-0.637911142,23.22,0
8,-0.91154718,0.84878059,2.058419188,-0.369294957,0.534313968,0.293869024,0.606554599,0.20237559,-0.557389567,-0.821806709,0.411392817,0.85515656,0.845323567,-0.143612829,-0.540904461,0.838667421,-1.393244327,0.867390422,-0.946759779,-0.043560792,0.278566322,0.77148967,-0.540936661,-0.460555359,0.830708938,-0.516033562,0.063450586,0.055119373,21,0
9,-1.561752736,1.395212341,0.994963633,-1.467352271,-0.481417876,-1.013867005,0.54339323,0.189609602,0.167506444,0.306679179,1.29984994,0.45994257,-0.720788004,0.27995938,-0.227086648,0.596694206,-0.731264057,0.04080368,-0.489863022,0.161370419,-0.03570214,-0.024781356,-0.045469624,0.567320437,-0.285585438,0.691909542,-0.098603909,0.005742784,19.13,0
10,2.110428225,-0.960106226,-2.635918032,-1.335905598,1.883811385,3.407117202,-0.893246635,0.758916371,-0.365260124,0.75062802,-0.346130671,0.114636943,0.077023652,0.343389145,0.46261791,-1.985952887,-0.142225678,1.018694962,-0.935125817,-0.541235707,-0.194146907,-0.015038539,0.126239031,0.694913457,0.165054009,-0.124696043,0.031448747,-0.055420872,24.27,0
11,1.127576321,-0.158346245,0.799973907,0.973867436,-0.316899451,0.817221824,-0.584883107,0.254365675,0.579901089,-0.071613839,0.010275874,1.23836972,1.005655719,-0.393731436,-0.526297347,0.578822884,-0.969926106,0.71582394,0.501174767,0.037074818,-0.057208776,-0.023082834,-0.201356759,-0.81514834,0.556546133,-0.360136153,0.066399412,0.02387314,43,0
12,2.065595438,0.130046859,-1.698494889,0.43060724,0.373937079,-0.904453575,0.174344789,-0.225618148,0.528620416,-0.37266243,-0.580617417,0.026581934,-0.186945517,-0.792641616,0.230297696,0.318939001,0.499501031,-0.28737677,0.041118087,-0.16546093,-0.363132402,-0.960720477,0.343616866,0.561525217,-0.272106967,0.170076189,-0.064943567,-0.030023898,5.36,0
13,2.03277613,-0.046887492,-1.638820747,0.190064043,0.487660912,-0.7607553,0.453853194,-0.388572065,0.184986312,0.021855012,-0.608077671,1.061026505,1.457711835,0.096287631,-0.163616041,-0.377016233,-0.285229045,-1.041682722,0.144631272,-0.035070286,-0.109555681,-0.193148605,0.175062299,0.682928169,0.004141531,0.487003081,-0.095546021,-0.057308749,37.4,0
14,-0.141207093,0.572206563,-0.636453468,-0.582072518,1.388789553,-0.96680324,1.053998453,-0.364500705,0.044615176,-0.385575667,1.034610217,0.591518007,0.484229348,-1.072486112,-0.222001393,0.377295083,-0.245550423,1.061863307,-0.323025412,0.0375975,0.236380417,1.106260724,-0.01996661,-0.52877881,-0.187803164,-0.239747578,0.068793568,-0.105373725,12.5,0
15,-10.36304947,4.543672013,-9.795897736,5.508003334,-6.037155994,-0.133492972,-11.72434612,-3.198345572,-4.767842224,-9.332128069,5.224124004,-7.743122345,-1.5603432,-7.140418034,1.185977826,-6.598704066,-12.120539,-3.904091534,2.513430401,0.92439618,-2.457144873,1.687256642,0.977178354,-0.543368977,-0.289124787,-0.107586425,0.330641898,0.16357715,1,1
16,1.025773047,-0.836257165,0.288555744,0.608631005,0.975993962,4.790392382,-1.671213203,1.328579102,1.555835332,-0.306124395,-1.133228644,0.50101284,-0.117460697,-0.914991568,-0.815517088,0.12412202,-0.411157121,0.586746786,0.254341841,0.095223372,0.091953453,0.44157229,-0.23349249,1.060620638,0.686593325,-0.110978035,0.106598913,0.045816081,69.9,0
17,-0.838513571,1.154893597,1.548018789,0.749800188,0.800456336,1.727480146,0.158932276,0.401124834,0.857912477,0.132577529,3.50209627,-2.232544022,0.752577472,1.326564789,1.657892875,-1.441151455,2.253586621,-1.032490915,0.110821054,0.290805653,-0.304520312,-0.207432791,0.08806538,-1.136083024,-0.705458338,0.3824736,0.193187783,-0.003214334,10.76,0
18,-0.726562751,0.057429866,2.048219447,-0.053917842,-0.361338992,0.222455207,-0.248159031,0.165977495,1.393421003,-0.718005774,2.296308815,-1.5228477,1.748122831,1.161173681,-0.932752019,-0.511571005,1.059670417,0.083287659,0.739092968,-0.018950081,0.091964532,0.767356846,0.184046656,0.294457964,-0.762278492,1.485033773,-0.027179133,0.117885739,34.9,0
19,-0.096564825,-1.339474753,1.848220621,-2.803736732,-1.56323107,0.259053114,-1.209620538,0.354359303,-1.227716037,0.696760235,-0.031310402,-0.599038816,0.229892935,-1.044796142,-1.088830227,0.639536412,-0.431739039,1.337481836,-0.880019481,-0.250212497,0.155126892,0.726431627,0.043630294,-0.37028594,-0.196766124,-0.168831782,0.017895772,-0.036229222,73.38,0
20,-0.714496771,0.733615242,1.329709593,-1.17335457,0.337385771,-0.851217057,1.357847078,-0.403582151,-0.215294819,-0.55106346,-1.077503372,-1.264928302,-1.60998178,0.264895933,0.520211447,0.330127883,-0.630273915,-0.217069169,-0.198441317,-0.101583603,-0.12447382,-0.367905174,-0.408355316,-0.094537165,0.416904669,0.920603024,-0.368450753,-0.211192897,49.55,0
21,1.220343813,-1.029331244,1.012149871,-0.907208593,-1.235816169,0.675504827,-1.445458699,0.34717268,-0.414546205,0.68240388,0.987077754,-0.004485305,0.552566642,-0.456130434,0.908037474,1.807481752,-0.277546692,-0.37278941,0.275154928,0.208364565,0.500470217,1.306611699,-0.194180284,-0.618949223,0.289689251,0.00694187,0.061330214,0.021341151,60,0
22,-0.665904549,0.630340513,1.262289789,0.491677473,0.721094168,-0.473308405,0.604412307,0.100597873,-0.561463215,-0.30766764,0.387892593,-0.043794434,-1.443551444,0.598705441,-0.725337473,-0.20937824,-0.363999341,0.515824504,0.550564887,-0.074400131,0.100527012,0.235105912,-0.31780639,-0.00334887,0.295371346,-0.317746558,0.086467601,0.103140946,0.76,0
23,1.104567727,-0.07427104,0.268680685,0.56632521,-0.405834653,-0.423311032,-0.076163875,0.094704445,-0.035610216,0.128550493,1.515826963,0.204223757,-1.604378046,0.881294339,0.643332166,0.051490218,-0.16442966,-0.157592875,-0.346922543,-0.162773497,0.094905417,0.156076382,-0.034111151,0.223220743,0.333878334,0.398707615,-0.045003928,0.00054551,38.42,0
24,-1.854788471,-2.50204572,0.588362973,-0.956388998,-1.990892818,0.025640484,0.359558402,0.518693491,-0.306738231,-0.849619216,-1.577338409,-0.828363527,-0.656512227,-0.491384456,-1.173121687,1.078455448,0.665721656,-1.216014647,0.501595184,1.212087181,0.405390428,-0.09295267,1.152811579,-0.087695662,0.037267374,-0.377929644,-0.244217012,-0.204571167,500.57,0
25,1.784201496,-0.783744176,-1.292328634,0.162493268,-0.275813593,-0.42755604,-0.033693816,-0.026765725,1.069468606,-0.060500099,0.193865424,0.379646024,-1.571034995,0.595692442,-0.731906134,-0.17495787,-0.350786857,0.085022675,0.693257233,-0.075152656,-0.078440899,-0.336252062,0.072000654,-0.485686724,-0.150790216,-0.086268347,-0.057986946,-0.052740387,125.56,0
26,1.317180533,-0.041191529,0.03184603,-0.374863012,-0.181220215,-0.370040028,-0.157920247,-0.025506852,0.080691198,-0.01327747,0.70543898,0.514791088,-0.049437757,0.424602192,0.518341972,0.702673475,-0.842497837,0.291986904,0.673885612,-0.048828144,-0.116005286,-0.354253858,-0.065098041,-0.442749745,0.314052872,0.99542981,-0.089712143,-0.015726524,0.92,0
